Bowler,Cluster,DPPI_Bowl
J Albin,0,0.11907394022207826
S Mahmood,0,0.10944351181095896
M Ansari,0,0.09838903075265229
MJ Henry,0,0.09524901137405012
AC Agar,0,0.08665050323653284
Imran Khan,0,0.06707349241736271
P Aho,0,0.06420193277671998
C Karunaratne,0,0.06369230622731686
P Useni,0,0.05371112615763268
DT Christian,0,0.050275725490822154
A Kheterpal,0,0.03731114907746269
CJ Anderson,0,0.036706861369204064
Khalid Zahid,0,0.020774981678255366
J Bulele,0,0.017973685987299814
RP Burl,0,0.012460866928598519
H Fennell,0,0.007728540812330362
PR Stirling,0,0.007410000897980162
Zohaib Sarwar,0,0.003807395637683869
SI Kamea,0,0.003746061151335217
Rizwan Cheema,0,-0.005695955583793572
IG Butler,0,-0.007654457621175587
C de Grandhomme,0,-0.013739963126835411
BV Vitori,0,-0.015782773831842317
MJ Santner,0,-0.017399975326340605
MG Johnson,0,-0.019161778333535495
Mahmudullah,0,-0.02125789260598976
Aqib Iqbal,0,-0.025762106239307664
Irfan Ahmed,0,-0.026733554779098403
Ibrahim Rizan,0,-0.030388765806195123
U Aryaman Sunil,0,-0.030656963102114326
Imran Tahir,0,-0.03255789472597867
V Mitari,0,-0.03496192991255212
K Christie,0,-0.03659937929510872
SR Rocket,0,-0.040799137518125986
Ali Masood,0,-0.04178731267109999
BM Tickner,0,-0.041954465146997244
Abdullah Rana,0,-0.045279334111220884
K Nestor,0,-0.04565742191358994
Mohammad Hafeez,0,-0.04577252543310978
DT Johnston,0,-0.04885922380718877
Ijaz Hussain,0,-0.052260870138331986
S Vashisht,0,-0.052928162711603124
Waheed Ahmed,0,-0.05359170348834724
S Sengupta,0,-0.05640094703285621
IK Pathan,0,-0.05849176780629256
GD Drummond,0,-0.060211226401841025
JW Hastings,0,-0.06026539974832407
OD Hald,0,-0.06070656272192883
C Waiswa,0,-0.07152245735153627
DC Drakes,0,-0.07223849360315296
V Ganesan,0,-0.07753700904704215
M Dixit,0,-0.08197638816816387
Jaweed Sadran,0,-0.08249240025313252
O Thomas,0,-0.08320391845648521
Tejwinder Singh,0,-0.08397008003167448
Ahmed Raza,0,-0.08557269812102375
RAS Lakmal,0,-0.08616023524050158
CN Greaves,0,-0.0869490925280285
M Ozturk,0,-0.08760675996739842
