Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
AC Agar,DEATH,2,4,9,1,1,31,30,7.75,7.5,15.0,6.200000000000001,1,3.0,30.0,6.666666666666667,1.3836222061859889,-0.7464059122877674,-0.8724304398133482,-0.4652498050783405,2.169053700369523,2.1400661634962708,1.3862943611198906,2.772588722239781,1
AC Botha,DEATH,1,4,6,0,0,19,18,4.75,4.5,18.0,6.333333333333334,1,0.0,33.33333333333333,0.0,1.3836222061859889,-0.5121962467380706,-1.6324249081532387,-0.4144608013679241,1.749199854809259,1.7047480922384253,0.0,2.9444389791664403,1
AC Douglas,DEATH,1,5,8,1,2,19,14,3.8,2.8,14.0,8.142857142857142,1,0.0,57.14285714285714,21.428571428571427,1.3836222061859889,1.1607299357597658,0.8104144543678375,0.2748185347020142,1.5686159179138452,1.33500106673234,0.0,2.70805020110221,1
AC Evans,DEATH,1,14,27,23,10,239,129,17.071428571428573,9.214285714285714,129.0,11.116279069767442,1,0.0,20.930232558139537,25.58139534883721,1.3836222061859889,-1.3836740720392688,1.2838329354765734,1.4074470642906227,2.8943321591122615,2.3237873006446486,0.0,4.867534450455582,1
AC Evans,DEATH,2,2,17,2,4,48,36,24.0,18.0,18.0,8.0,0,1.0,47.22222222222222,16.666666666666664,-0.722620504445314,0.46367735971900087,0.26756126269648717,0.22040174501228244,3.2188758248682006,2.9444389791664403,0.6931471805599453,2.9444389791664403,0
AC Voges,DEATH,1,2,5,0,0,1,6,0.5,3.0,6.0,1.0,0,2.0,83.33333333333334,0.0,-0.722620504445314,3.000948736507387,-1.6324249081532387,-2.446020949784586,0.4054651081081644,1.3862943611198906,1.0986122886681096,1.9459101490553132,0
ACF Stokes,DEATH,2,1,11,2,1,24,24,24.0,24.0,12.0,6.0,0,0.5,45.83333333333333,12.5,-0.722620504445314,0.3660899990732935,-0.2074352800159441,-0.5414333106439657,3.2188758248682006,3.2188758248682006,0.4054651081081644,2.5649493574615367,0
AD Mascarenhas,DEATH,1,1,1,0,1,10,6,10.0,6.0,6.0,10.0,0,1.0,16.666666666666664,16.666666666666664,-0.722620504445314,-1.683244574486556,0.26756126269648717,0.9822368006685306,2.3978952727983707,1.9459101490553132,0.6931471805599453,1.9459101490553132,0
AD Mathews,DEATH,1,2,4,2,1,36,24,18.0,12.0,24.0,9.0,0,2.0,16.666666666666664,12.5,-0.722620504445314,-1.683244574486556,-0.2074352800159441,0.6013192728404065,2.9444389791664403,2.5649493574615367,1.0986122886681096,3.2188758248682006,0
AD Russell,DEATH,1,9,47,17,10,220,150,24.444444444444443,16.666666666666668,150.0,8.799999999999999,1,0.0,31.333333333333336,18.0,1.3836222061859889,-0.6527220460678884,0.41956015636446553,0.5251357672747813,3.2364974262180204,2.8716796248840124,0.0,5.017279836814924,1
